nr;nume;prenume;camera;localitate;sediu;
249;Vucea;Gheorghe;ClujNapoca;Baia Mare;Baia Mare, Str. Republicii nr. 1, ap. 24,judeţul Maramureş;
250;Morari;Marius Iacob;ClujNapoca;Baia Mare;Baia Mare, Str. Republicii nr. 1, ap. 115,judeţul Maramureş;
251;Bud;Robert Mihai;ClujNapoca;Baia Mare;Baia Mare, Str. Republicii nr. 1, ap. 17,judeţul Maramureş;
252;Pintea;BogdanIoan;ClujNapoca;Baia Mare;Baia Mare, Str. Republicii nr. 1, ap. 13,judeţul Maramureş;
253;Şimon;Attila;ClujNapoca;Baia Mare;Baia Mare, Str. Republicii nr. 1, ap. 106,judeţul Maramureş;
254;Coman;Gheorghe Gavril;ClujNapoca;Sighetu;Sighetu Marmaţiei, str. Bogdan Vodă nr. 30,judeţul Maramureş;
255;Roman;Mariana;ClujNapoca;Sighetu;Sighetu Marmaţiei, str. Gheorghe Şincainr. 24, judeţul Maramureş;
256;Batin;Petru;ClujNapoca;Sighetu;Sighetu Marmaţiei, str. Bogdan Vodă nr. 30,judeţul Maramureş;
257;Aniţei;Dorel;ClujNapoca;Vişeu de Sus;Vişeu de Sus, Str. Republicii nr. 2,cam. 6,judeţul Maramureş;
258;Amişculesei;Radu Cătălin;ClujNapoca;Vişeu de Sus;Vişeu de Sus, Str. 22 Decembrie nr. 14 A,judeţul Maramureş;
259;Stoica;Ioan Alin;ClujNapoca;Târgu Lăpuş;SUSPENDAT;
260;Oszoczki;Marton;ClujNapoca;Zalău;Zalău, str. T. Vladimirescu bl. P 24,ap. 2,judeţul Sălaj;
261;Ţurcaş;Ioan;ClujNapoca;Zalău;Zalău, str. T. Vladimirescu bl. P 24,ap. 2,judeţul Sălaj;
262;Kovacs;Levente Ferenc;ClujNapoca;Zalău;Zalău, str. T. Vladimirescu bl. P 24,ap. 2,judeţul Sălaj;
263;StoicaConstantin;Adrian;Constanţa;Constanţa;Constanţa, Str. Griviţei nr. 18, parter,judeţul Constanţa;
264;StoicaConstantin;GabrielaSimona;Constanţa;Constanţa;Constanţa, Str. Griviţei nr. 18, parter,judeţul Constanţa;
265;Vasile;Dumitru Gabriel GabrielaSimona;Constanţa;Constanţa;Constanţa, bd. Tomis nr. 267, bl. T 4,ap. 16, judeţul Constanţa;
266;Deacu;Vasile;Constanţa;Constanţa;Constanţa, Str. Daciei nr. 62,judeţul Constanţa;
267;Gavrilescu;Alin;Constanţa;Constanţa;Constanţa, Str. Daciei nr. 62,judeţul Constanţa;
268;Volintiru;Ştefan;Constanţa;Constanţa;Constanţa, str. Miron Costin nr. 36, ap. 6,judeţul Constanţa;
